Character,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Eddard,897.0,28.0,24.0,19.0,13.0,9.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catelyn,921.0,14.0,13.0,12.0,11.0,9.0,7.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sansa,321.0,53.0,82.0,102.0,108.0,98.0,77.0,56.0,36.0,22.0,13.0,8.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
Arya,304.0,24.0,37.0,56.0,75.0,88.0,91.0,84.0,70.0,53.0,38.0,25.0,17.0,10.0,7.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0
Bran,331.0,75.0,103.0,116.0,110.0,89.0,62.0,42.0,24.0,14.0,7.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
Jon Snow,297.0,14.0,17.0,27.0,42.0,59.0,72.0,82.0,81.0,74.0,63.0,49.0,37.0,26.0,18.0,12.0,8.0,6.0,4.0,3.0,2.0,2.0
Daenerys,305.0,27.0,45.0,69.0,87.0,95.0,94.0,79.0,62.0,45.0,31.0,19.0,11.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0
Tyrion,297.0,12.0,13.0,19.0,30.0,45.0,57.0,69.0,76.0,75.0,70.0,59.0,49.0,37.0,28.0,19.0,13.0,9.0,6.0,4.0,3.0,3.0
Theon,521.0,111.0,119.0,96.0,66.0,40.0,22.0,11.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davos,517.0,108.0,116.0,97.0,67.0,41.0,23.0,12.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samwell,629.0,110.0,99.0,69.0,42.0,24.0,12.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaime,627.0,58.0,68.0,70.0,60.0,44.0,30.0,18.0,11.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cersei,726.0,86.0,68.0,51.0,31.0,18.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brienne,720.0,110.0,76.0,45.0,23.0,12.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Areo,813.0,124.0,39.0,12.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arys,856.0,101.0,26.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arianne,813.0,125.0,39.0,13.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asha,747.0,139.0,63.0,28.0,12.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeron,813.0,123.0,39.0,13.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victarion,750.0,137.0,64.0,26.0,11.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quentyn,746.0,139.0,66.0,27.0,11.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon C,812.0,124.0,40.0,13.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melisandre,857.0,100.0,25.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barristan,751.0,137.0,64.0,26.0,11.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
