Character,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Eddard,884.0,33.0,27.0,21.0,15.0,8.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catelyn,914.0,17.0,14.0,13.0,12.0,10.0,7.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sansa,161.0,64.0,97.0,127.0,134.0,121.0,97.0,69.0,46.0,27.0,17.0,9.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Arya,143.0,28.0,43.0,68.0,93.0,109.0,115.0,104.0,86.0,66.0,47.0,31.0,21.0,12.0,8.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0
Bran,176.0,88.0,127.0,144.0,135.0,111.0,81.0,50.0,30.0,18.0,10.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Jon Snow,136.0,17.0,20.0,34.0,51.0,73.0,89.0,99.0,100.0,92.0,78.0,61.0,45.0,32.0,23.0,15.0,10.0,6.0,4.0,3.0,3.0,2.0
Daenerys,146.0,33.0,54.0,82.0,107.0,119.0,114.0,99.0,77.0,56.0,37.0,23.0,14.0,9.0,6.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0
Tyrion,133.0,13.0,16.0,22.0,36.0,53.0,71.0,87.0,94.0,94.0,87.0,74.0,60.0,47.0,34.0,23.0,17.0,11.0,8.0,6.0,4.0,3.0
Theon,328.0,155.0,166.0,137.0,93.0,56.0,31.0,16.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davos,320.0,150.0,165.0,137.0,97.0,57.0,32.0,18.0,9.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Samwell,427.0,164.0,151.0,109.0,69.0,37.0,20.0,11.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaime,412.0,84.0,105.0,109.0,95.0,71.0,50.0,31.0,18.0,10.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cersei,576.0,122.0,106.0,82.0,51.0,29.0,15.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brienne,559.0,164.0,119.0,75.0,42.0,20.0,10.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Areo,726.0,178.0,58.0,21.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arys,793.0,147.0,36.0,12.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arianne,728.0,177.0,58.0,20.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asha,614.0,206.0,100.0,44.0,19.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeron,728.0,176.0,58.0,20.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victarion,615.0,206.0,99.0,43.0,18.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quentyn,612.0,205.0,100.0,45.0,19.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon C,726.0,179.0,59.0,20.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melisandre,795.0,143.0,37.0,12.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barristan,615.0,206.0,100.0,42.0,19.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
